title,transcript,Preprocessed
elephant,elephants are the largest land mammals on earth and have distinctly massive bodies large ears and long drunks they use their trunks to pick up objects trumpet warnings greet other relevance or suck up water for drinking or bathing among other uses both male and female african elephants grow tusks and each individual can either be left or right tusked and the one they use more is usually smaller because of wear and tear elephant tusks serve many purposes these extended teeth can be used to protect the elephant strung lift and move objects gather food and strip bark from trees they can also be used for defense during times of drought elephants even use their tusks to dig holes to find water underground to genetically different african species exist the savanna elephant and the forest elephant with a number of characteristics that differentiate them both the african savannah elephant is the largest elephant species while the asian forest elephant and the african forest elephant are of a comparable smaller size asian elephants differ in several ways from their african relatives with more than ten distinct physical differences between them for example asian elephants ears are or smaller compared to the large fan shaped tears of the african species only some male asian elephants have tusks while both male and female african elephants grow tusks led by a matriarch elephants are organized into complex social structures of females and calves while may lovitz tend to live in isolation or in small bachelor groups a single calf is born to a female once every four to five years and after a gestation period of twenty two months the longest of any mammal cats are cared for by the entire herd of related females female cats may stay with their maternal herd for the rest of their lives while males leave they heard as they reached puberty forest elephants social groups differ slightly and may be comprised of only an adult female and her offspring however they may congregate in larger groups in forest clearings where resources are more abundant elephants need ext offensive land areas to survive and meet their ecological needs which includes food water and space on average an elephant can feed up to eighteen hours and consume hundreds of pounds of plant matter in a single day as a result as they lose habitat they often come into conflict with people in competition for resources ,elephant large land mammal earth distinctly massive body large ear long drink use trunk pick object trumpet warning greet relevance suck water drinking bathing among use male female african elephant grow task individual either leave right task one use usually small wear tear elephant task serve many purpose extend tooth use protect elephant strung lift move object gather food strip bark tree also use defense time drought elephant even use task dig hole find water underground genetically different african specie exist savanna elephant forest elephant number characteristic differentiate african savannah elephant large elephant specie asian forest elephant african forest elephant comparable small size asian elephant differ several way african relative ten distinct physical difference example asian elephant ear small compare large fan shape tear african specie male asian elephant task male female african elephant grow task lead matriarch elephant organize complex social structure female calf may love tend live isolation small bachelor group single calf bear female every four five year gestation period twenty two month long mammal cat care entire herd relate female female cat may stay maternal herd rest live male leave hear reach puberty forest elephant social group differ slightly may comprise adult female offspring however may congregate large group forest clearing resource abundant elephant need ext offensive land area survive meet ecological need include food water space average elephant feed eighteen hour consume hundred pound plant matter single day result lose habitat often come conflict people competition resource
fd_mutual_finance,bank fixed deposits and government small savings schemes have been the traditional investment choice of average indian household as present bank of india quarterly estimates of household financial assets and liabilities rupees four thousand seven hundred fifty three b ilion was invested in bank of teas and for year two thousand and eighteen latest year for which data is available from rbi on the other hand despite its growing popularity share of major funds in house on fixed income assets is still relatively quite small as per amfi day a february two thousand and twenty retail and hni in net investment in debt mutual funds in the last one year ending sept two thousand and twenty was obese two hundred sixty billion sap in mutual fund how does sap in debt mutual funds work by investing a fixed amato every month for any other ender will from yours regular savings you can invest over a long period of time and benefit from the power of compounding power of compounding it's not only work for equity it also works for fixed income over long investment in yours by investing a fixed amount at regular intervals monthly or any other you will be investing at various price point and average out your purchase cost this is known as will be cost averaging since fixed income funds are market linked schemes the prices are also subject to volatility two sap you can take advantage of fertility even a fixed income phone especially in longer duration for which are more sensitive to interest rates fixed income can outperform even in the long term extreme market conditions often challenge popularly held views one view is that equity ow performs always in the long term this is larger liquor because starting today shows that equity has been best performing asset class in the long term however promotional singing about what constitutes long term is now being challenged the chart below shows the annual leah terrorized average does have some equity and fixed income categories over the last three five and ten years you can see that insurance market conditions fixed income phones can out from equity even over fairly long ten years and investor education initiative by mirae asset mutual funds the ratios above editors of the case degrees and do not in any way depict the performance of any individual scheme of any fund major funds investment are subject to market risks read all scheme military documents carefully ,bank fix deposit government small saving scheme traditional investment choice average indian household present bank india quarterly estimate household financial asset liability rupee four thousand seven hundred fifty three b lion invest bank tea year two thousand eighteen late year datum available rbi hand despite grow popularity share major fund house fix income asset still relatively quite small per afi day february two thousand twenty retail hi net investment debt mutual fund last one year end sept two thousand twenty obese two hundred sixty billion sap mutual fund sap debt mutual fund work invest fix math every month under regular saving invest long period time benefit power compound power compound not work equity also work fix income long investment invest fix amount regular interval monthly invest various price point average purchase cost know cost averaging since fix income fund market link scheme price also subject volatility two sap take advantage fertility even fix income phone especially long duration sensitive interest rate fix income outperform even long term extreme market condition often challenge popularly hold view one view equity ow perform always long term large liquor start today show equity best perform asset class long term however promotional singing constitute long term challenge chart show annual lead terrorize average equity fix income category last three five ten year see insurance market condition fix income phone equity even fairly long ten year investor education initiative mira asset mutual fund ratio editor case degree not way depict performance individual scheme fund major fund investment subject market risk read scheme military document carefully
finance,griego lists you are a green financial professional compatibility with finance is often a responsibility left to accounting departments and other employees tend to pay corporate finance and accounting issues no mind ignoring finance however will put you behind the competition when it comes to being well versed in all the complex aspects of working in a business no maria profession or position within your organization if you have no idea what a beer market or what cpm stands for it is time to lose your fear of finance and begin embrace if money matters head on start your journey to financial fluency by learning some basic financial terms and concepts network is an easy one to start with you may have heard one time in your day today from financial experts discussing a company's network two magazines discussing a certain celebrities value in dollars in a business context network simply means the difference between your total assets and total amount you owe to your creditors and other financial stakeholders a positive net worth indicates good financial health whilst a negative net worth means your company is operating at a loss without going too much into nifty greedy of corporate finance funds you want inflation means the sustained increase in the prices of goods and services over a certain period in relation to the value of your national currency one inflation indicator working professionals should look out for is if their income is rising proportionally with the initial rate of inflation for the mood if your organization operates on a global scale inflation can have an impact on your price point when selling oxide your companies or country's borders liquidity determined decades how accessible your assets are what monetary value your assets regenerative their work are sold today corporates usually need to have a balanced liquidity since creditors can demand the money at any time and the speed that your business can generate cash at me how a significant impact on on its financial well being ,grief list green financial professional compatibility finance often responsibility leave accounting department employee tend pay corporate finance accounting issue mind ignore finance however put behind competition come well verse complex aspect work business maria profession position within organization idea beer market cpm stand time lose fear finance begin embrace money matter head start journey financial fluency learn basic financial term concept network easy one start may hear one time day today financial expert discuss company network two magazine discuss certain celebrity value dollar business context network simply mean difference total asset total amount owe creditor financial stakeholder positive net worth indicate good financial health whilst negative net worth mean company operate loss without go much nifty greedy corporate finance fund want inflation mean sustain increase price good service certain period relation value national currency one inflation indicator work professional look income rise proportionally initial rate inflation mood organization operate global scale inflation impact price point sell oxide company country border liquidity determine decade accessible asset monetary value asset regenerative work sell today corporate usually need balanced liquidity since creditor demand money time speed business generate cash significant impact financial well
jeffrey_archer,jeffrey howard archer baron archer of weston super mare born april fifteenth nineteen forty is an english novelist life peer and former politician before becoming an author archie was a member of parliament nineteen sixty nine to nineteen seventy four but did not seek reelection after a finance oil scandal that left him almost bankrupt he revived his fortunes as a bestselling novelist his books have sold more than three hundred twenty million copies worldwide archer wrote his first book not a penny more not a penny less in the autumn of nineteen seventy four as a means of avoiding bankruptcy the bug was picked up by the literary agent debra on and published first in the us then eventually and britain in the autumn of nineteen seventy six a radio adaptation was aired on bbc radio four and the early nineteen eighties under bbc television adaptation of the book was broadcast and nineteen ninety cain and abel nineteen seventy nine proved to be his best selling work reaching number one on the new york times bestsellers list like most of his early work it was edited by richard cole on the olympic fencing gold medalist it was made into a television miniseries by cbs in nineteen eighty five five starring peter strauss and sam neill the following year granada tv screen baton part adaptation of another archer bestseller first among equals which told the story of four men and their quest to become prime minister and the us edition of the novel the character of andrew fraser was eliminated re reducing the number of protagonists to three as well as novels and short stories archer has also written three stage plays the first beyond reasonable doubt opened in nineteen eighty seven and ran at the queens theatre in london's west end for over a year twenty eight archers next play exclusive was not well received by critics and closed after a few weeks his final play the accused opened at the theatre royal windsor on september twenty six two thousand before transferring to the theatre royal haymarket in the west hand in december and nineteen eighty eight after kathleen burnett accused archer of play arising a story she'd written and including it in his short story collection a twist in the tale archer denied he had plagiarized the story claiming he'd simply been inspired by the idea the sword the long and the tall an illustrated collection of archer's short stories was published in november two thousand twenty with watercolor illustrations by artist paul cox,jeffrey howard archer baron archer weston super mare bear april fifteenth nineteen forty english novelist life peer former politician become author archive member parliament nineteen sixty nine nineteen seventy four not seek reelection finance oil scandal leave almost bankrupt revive fortune bestselle novelist book sell three hundred twenty million copy worldwide archer write first book not penny not penny less autumn nineteen seventy four mean avoid bankruptcy bug pick literary agent zebra publish first -PRON- eventually britain autumn nineteen seventy six radio adaptation air bbc radio four early nineteen eighty bbc television adaptation book broadcast nineteen ninety cain abel nineteen seventy nine prove good selling work reach number one new york times bestseller list like early work edit richard cole olympic fence gold medalist make television miniserie cbs nineteen eighty five five star peter stress sam neil following year granada tv screen baton part adaptation another archer bestseller first among equal tell story four man quest become prime minister us edition novel character andrew fraser eliminate reduce number protagonist three well novel short story archer also write three stage play first beyond reasonable doubt open nineteen eighty seven run queens theatre london west end year twenty eight archer next play exclusive not well receive critic close week final play accuse open theatre royal windsor september twenty six two thousand transfer theatre royal haymarket west hand december nineteen eighty eight kathleen barnett accuse archer play arise story write include short story collection twist tale archer deny plagiarize story claim simply inspire idea sword long tall illustrate collection archer short story publish november two thousand twenty watercolor illustration artist paul cox
mammoth,the mammoth is a member of an extinct group of elephants mammoths were hairy elephants of the genus mammoth mammatus they lived in europe until four thousand five hundred years ago and were adapted to cold climate they were killed off by hunters and climate change there were a series of ice ages which allowed the math myths to spread across the land the various species of mammoth were commonly equipped with long curved tusks and in northern species a covering of long hair the oldest representative of mammoth us the south african mammoth amazon planet fronds appeared around five million years ago during the the early pliocene in what is now southern and eastern africa descendant species of these mammoths moved north and continued to propagate into numerous subsequent species eventually covering most of eurasia before extending into the americas at least six hundred thousand years ago the last species to emerge the woolly mammoth emperor image nes developed about four hundred thousand years ago in east asia mammoths were hunted by early humans who used spears and cut them up with hand axes their frozen flesh has been analyzed for it's dna sequence like their modern relatives mammoths were quite large the largest known species reached heights in the region of four meters thirteen point one feet at the shoulder and weights of up to eight tons eight point eight short tons while exceptionally large males may have exceeded twelve tons thirteen point two short tons however most ce species of mammoth were only about as large as a modern asian elephant which are about two point five meters to three meters high at the shoulder and rarely exceeding five tons both sexes bore tusks based on studies of their close relatives the modern elephants mammoths probably had a gestation period of twenty two months resulting in a single calf being born their social structure was probably the same as that of african and asian elephants with females living in herds headed by a matriarch whilst bowles lived solitary lives or formed loose groups since many remains of each species of man mammoth are known from several localities it is possible to reconstruct the evolutionary history of the genus through more of a logical studies mammoth species can be identified from the number of enamel ridges on their molars the primitive species had few ridges and the amount increased gradually as new species evolved and replaced the former ones at the same time the crowns of the teeth became longer and the skulls become higher from top to bottom and shorter from the back to the front over time to accommodate this the woolly mammoth emperor image nes was the last species of the genus most populations of the woolly mammoth a than north america and eurasia as well as all the columbian mammoths and colombia in north america died out around the time of the last glacial retreat as part of a mass extinction of megafauna in northern eurasia and the americas,mammoth member extinct group elephant mammoth hairy elephant genus mammoth mammal live europe four thousand five hundred year ago adapt cold climate kill hunter climate change series ice age allow math myth spread across land various specie mammoth commonly equip long curve task northern specie cover long hair old representative mammoth -PRON- south african mammoth amazon planet front appear around five million year ago early pliocene southern eastern africa descendant species mammoth move north continue propagate numerous subsequent specie eventually cover eurasia extend america least six hundred thousand year ago last specie emerge woolly mammoth emperor image nes develop four hundred thousand year ago east asia mammoth hunt early human use spear cut hand axis freeze flesh analyze dna sequence like modern relative mammoth quite large large know specie reach height region four meter thirteen point one foot shoulder weight eight ton eight point eight short ton exceptionally large male may exceed twelve ton thirteen point two short ton however ce specie mammoth large modern asian elephant two point five meter three meter high shoulder rarely exceed five ton sex bore task base study close relative modern elephant mammoth probably gestation period twenty two month result single calf bear social structure probably african asian elephant female live herd head matriarch whilst bowl live solitary life form loose group since many remain specie man mammoth know several locality possible reconstruct evolutionary history genus logical study mammoth specie identify number enamel ridges molar primitive species ridge amount increase gradually new specie evolve replace former one time crown tooth become long skull become high top bottom short back front time accommodate woolly mammoth emperor image ne last specie genus population woolly mammoth north america eurasia well columbia mammoth colombia north america die around time last glacial retreat part mass extinction megafauna northern eurasia americas
murakami,haruki murakami born january twelfth nineteen forty nine is a japanese writer his novels essays and short stories have been bestsellers in japan as well as internationally with his work translated into fifty languages and selling millions of copies outside japan he has received numerous awards for his work including the guns who prize for new writers the world fantasy award the frank o'connor international short story award the franz kafka prize and the jerusalem prize many of his novels have themes and titles that evoke classical music such as the three books making up the wind up bird chronicle all of thieving magpie after racine is opera bird as prophet after a piano piece by robert schumann usually known in english as the prophet bird and the bird catcher a character in mozart's opera the magic flute some of his novels take their titles from songs dance dance dance after the dell's nine nineteen fifty seven besides song although it is often thought it was titled after the beach boys nineteen sixty four tune norwegian wood after the beatles song and south of the border west of the sun after the song south of the border and two thousand and six murakami became the sixth recipient of the fronds com cut prize in april two thousand and fifteen murakami was named one of the time one hundred most influential people in november two thousand and sixteen he was awarded the danish hans christian andersen literature award an award previously won by british author jk rowling and two thousand and eighteen will see the university and tokyo agreed to house the archives of how to come iraq army including his manuscripts source documents and music collection the collection is intended to be opened to scholars and is set to open in october two thousand twenty one,hari murakami bear january twelfth nineteen forty nine japanese writer novel essay short story bestsellers japan well internationally work translate fifty language sell million copy outside japan receive numerous award work include guns prize new writers world fantasy award frank connor international short story award franz aka prize jerusalem prize many novel theme title evoke classical music three book make wind bird chronicle think magpie racing opera bird prophet piano piece robert schumann usually know english prophet bird bird catcher character mort opera magic flute novel take title song dance dance dance dell nine nineteen fifty seven besides song although often think title beach boy nineteen sixty four tune norwegian wood beatles song south border west sun song south border two thousand six murakami become sixth recipient front com cut prize april two thousand fifteen murakami name one time one hundred influential people november two thousand sixteen award danish hans christian anderson literature award award previously british author jk bowl two thousand eighteen see university tokyo agree house archive come iraq army include manuscripts source document music collection collection intend open scholar set open october two thousand twenty one
mutual_funds,my name is metro for safe microphones are markedly instrument which invest in equity or cootie related securities that are money related market instruments the net asset value anyway of mutual fund scheme depends on the market price of underlying securities and it's pulled for you based on the securities can go up or down depending on the market movement hence you see the disclaimer mutual funds are subject to market risk and friendly picture our deceive investors who have invested only in traditional fixed income investments like bank fixed deposits post over small saving schemes etc often have two versions when they invest first in mutual funds how much return will they get is it safe to inverse in metro phones it is very important for the investors to understand the following mature for to not give a short returns even if a mutual fund scheme is paying regular dividends dividend paid by major funds are not assured the asset management company aims he can che change the dividend belgrade or can even stop being detained for a period of time as deemed fit by mt based on market conditions there is no guarantee of capital production major phones he should be prepared to take some risk when investing in mutual funds but if you understand the risk and make informed investment decisions based on your risk appetite and financial objectives mutual funds can provide investment solutions for a wide spectrum of risk appetite and investment neat in this article we will try to understand the risk and mutual funds investing and discuss as much of unsafe risk and agree funds these are three kinds of risk and equity mutual funds they are as follows market risk is also known as systematic years this is a risk which affect the entire stock market it can be caused by events which may affect the entire economy investment cycles common policies rba actions global events example overnight in bundaberg global financial crisis nine eleven terrorist attack in new york etc mortgages can cause volatility in a mutual fund investment some categories of mutual funds mid cap fund small cap funds are affected more by market volatility as compared to other categories that is large gap you should invest according to your risk appetite without thinking how safe is mutual funds asymmetric risk this is the risk which impacts only a particular stock or sector major funds aim to diversify unsystematic risk but there may be still be some unsystematic risk in actively managed funds because fund managers may be overweight underweight on some stock sector thus in order to beat the market benchmark index that is great advice for investors if you want to avoid unsystematic risks then you may invest in idiots an index fund which jack market indexes data subject to market risk however investors should understand unsystematic risk is not necessary really matters because it can help fund managers gives superior returns over a sufficiently long investment horizon great advice for investors you should invest according to your risk appetite and investment needs without worrying about is it safe to invest in mutual funds now or not liquidity risk this can arise due to inability of the fund manager to sell the underlying securities of scheme when the need arises that is redemption pressures if there are not sufficient buyers due to prevailing market conditions example very high volatility beer market etc a foreign manager may be unable to sell securities in extreme market conditions the mc may stop redemption and certain mutual fund schemes liquidity risk and equity funds back some market segment example small cap funds compared to more liquid segment example large gaps,name metro safe microphones markedly instrument invest equity cookie relate security money related market instrument net asset value anyway mutual fund scheme depend market price underlie security pull base security go depend market movement hence see disclaimer mutual fund subject market risk friendly picture deceive investor invest traditional fix income investment like bank fix deposit post small saving scheme etc often two version invest first mutual fund much return get safe inverse metro phone important investor understand follow mature not give short return even mutual fund scheme pay regular dividend dividend pay major fund not assure asset management company aim che change dividend degrade even stop detain period time deemed fit mt base market condition guarantee capital production major phone prepare take risk invest mutual fund understand risk make informed investment decision base risk appetite financial objective mutual fund provide investment solution wide spectrum risk appetite investment neat article try understand risk mutual fund invest discuss much unsafe risk agree fund three kind risk equity mutual fund follow market risk also know systematic year risk affect entire stock market cause event may affect entire economy investment cycle common policy ra action global event example overnight bundaberg global financial crisis nine eleven terrorist attack new york etc mortgages cause volatility mutual fund investment category mutual fund mid cap fund small cap fund affect market volatility compare category large gap invest accord risk appetite without think safe mutual fund asymmetric risk risk impact particular stock sector major fund aim diversify systematic risk may still systematic risk actively manage fund fund manager may overweight underweight stock sector thus order beat market benchmark index great advice investor want avoid systematic risk may invest idiot index fund jack market indexes data subject market risk however investor understand systematic risk not necessary really matter help fund manager give superior return sufficiently long investment horizon great advice investor invest accord risk appetite investment need without worry safe invest mutual fund not liquidity risk arise due inability fund manager sell underlie security scheme need arise redemption pressure not sufficient buyer due prevail market condition example high volatility beer market etc foreign manager may unable sell securities extreme market condition mc may stop redemption certain mutual fund scheme liquidity risk equity fund back market segment example small cap fund compare liquid segment example large gap
paulo_coelho,paulo coelho born august twenty fourth nineteen forty seven rio de janeiro brazil brazilian novelist known for employing rich symbolism and his depictions of the often spiritually motivated journeys taken by his characters his novel the alchemist has sold more than one hundred fifty million copies worldwide and is the all time best selling book by a brazilian writer and nineteen eighty two coelho published his first book pal archives which failed to make a substantial impact and nineteen eighty six he contributed to the practical manual of vampirism although he later tried to take it off the shelves since he considered it a bad quality after making the pilgrimage to santiago de compostela in nineteen eighty six coelho wrote the pilgrimage published in nineteen eighty seven while trying to overcome his procrastination about launching his writing career coelho decided if i see a white feather today that is a sign that god is giving me that i have to write a new book seeing one in the window of a shop he began writing that day fourteen the following year coelho wrote the alchemists and published it through a small brazilian publishing house that made an initial print run of nine hundred copies and decided not to reprint at dod he subsequently found a bigger publishing the house and with the publication of his next bog breeder the outcomes took off harper collins decided to publish the book in nineteen ninety four later it became an international bestseller in a two thousand and nine interview with the syrian forward magazine coelho stated that the sufi tradition had been unemployed once on him particularly when writing the alchemist and later there's a here since the publication of the alchemist coelho has generally written at least one novel every two years four of them the pilgrimage hubby the valkyries and aleph are autobiographical while the majority of the rest are broadly fictional,paulo cello bear august twenty fourth nineteen forty seven rio de janeiro brazil brazilian novelist know employ rich symbolism depiction often spiritually motivate journey take character novel alchemist sell one hundred fifty million copy worldwide time good sell book brazilian writer nineteen eighty two cello publish first book pal archive fail make substantial impact nineteen eighty six contribute practical manual vampire although later try take shelf since consider bad quality making pilgrimage santiago de compostela nineteen eighty six cello write pilgrimage publish nineteen eighty seven try overcome procrastination launch write career cello decide see white feather today sign god give write new book see one window shop begin write day fourteen follow year cello write alchemist publish small brazilian publishing house make initial print run nine hundred copy decide not reprint dod subsequently find big publishing house publication next bog breeder outcomes take harper collin decide publish book nineteen ninety four later become international bestseller two thousand nine interview syrian forward magazine cello state sui tradition unemploye particularly write alchemist later since publication alchemist cello generally write least one novel every two year four pilgrimage hobby valkyrie aleph autobiographical majority rest broadly fictional
penguin,penguins are a group of aquatic flightless birds they live almost exclusively in the southern hemisphere highly adapted for life in the water penguins have counter shaded dark and white plumage and flippers for swimming most penguins feed on krill fish squid and other forms of sea life which they catch why while swimming underwater they spend roughly half of their lives on land and the other half in the sea although almost all penguin species are native to the southern hemisphere they are not found only in areas with cold climates such as antarctica in fact only a few species of penguin live that far south south several species are found in the temperate zone and one species the galapagos penguin lives near the equator the largest living species is the emperor penguin on average adults are about one point one meters three feet seven in tall and weigh thirty five kilogram mes seventy seven pounds the smallest penguin species is the little blue penguin also known as the fairy penguin which stands around thirty three centimeters tall and weighs one kilogram in general today larger penguins inhabit colder regions and smaller penguins inhabit regions with temperate or tropical climates some prehistoric penguin species were enormous as tall or heavy as an adult human there was a great diversity of species in subantarctic regions and at least one giant species in a region around two thousand kilometers south of the equator in a climate decidedly warmer than today though they are birds penguins have flippers instead of wings they cannot fly and on land a waddle walking upright though when snow conditions are right they will slide on their bellies in the water they are expert swimmers and divers and some species can reach speeds of up to fifteen miles per hour the penguins distinctive colouring black body with white belly helps camouflage the bird in the water as it searches for meals of small shrimp fish crabs and squid the evolutionary history of penguins is well researched and represents a showcase of evolutionary bio geography although penguin and bones of any one species very much in size and few good specimens are known the alpha taxonomy of many prehistoric forms still leaves much to be desired some seminal articles about penguin pre history have been published since two thousand the evolution of the living genera can be considered resolved by now,penguin group aquatic flightless bird live almost exclusively southern hemisphere highly adapt life water penguin counter shaded dark white plumage clipper swim penguin feed kill fish squid form sea life catch swimming underwater spend roughly half live land half sea although almost penguin specie native southern hemisphere not find area cold climate antarctica fact specie penguin live far south south several specie find temperate zone one species galapagos penguin live near equator large live specie emperor penguin average adult one point one meter three foot seven tall weigh thirty five kilogram me seventy seven pound small penguin specie little blue penguin also know fairy penguin stand around thirty three centimeter tall weigh one kilogram general today large penguin inhabit cold region small penguin inhabit region temperate tropical climate prehistoric penguin specie enormous tall heavy adult human great diversity specie subantarctic region least one giant specie region around two thousand kilometer south equator climate decidedly warm today though bird penguin clipper instead wing can not fly land saddle walk upright though snow condition right slide bellied water expert swimmer diver specie reach speed fifteen mile per hour penguin distinctive colour black body white belly help camouflage bird water search meal small shrimp fish crabs squid evolutionary history penguin well research represent showcase evolutionary bio geography although penguin bone one specie much size good specimen know alpha taxonomy many prehistoric form still leave much desire seminal article penguin pre history publish since two thousand evolution live genera consider resolve
animal_farm,animal farm is a satirical allegorical novella by george orwell first published in england on august seventeenth nineteen forty five the book tells the story of a group of farm animals who rebel against their human farmer hoping to create a society where the animals can be equal free and happy all ultimately the rebellion is betrayed and the farm ends up in a state as bad as it was before under the dictatorship of a pig named napoleon or well wrote the book between november nineteen forty three and february nineteen forty four when the united kingdom was in it's war time alliance with the soviet union against nazi germany and the british intelligentsia held stolen in high esteem a phenomenon or well hated the manuscript was initially rejected by a number of british and american publishers including one of orwell's own victor gollancz which delayed it's publication it became a great commercial success when it did up here partly because international relations were transformed as the war time alliance gave way to the cold war in the preface of a nineteen forty seven ukrainian edition of animal farm he explained how escaping the communist purges in spain taught him how easily totalitarian propaganda can control the opinion of enlightened people and democratic country he's this motivated door while to expose and strongly condemn what he saw as the stalinist corruption of the original socialist ideals homage to catalonia sold poorly after seeing arthur koestler best selling darkness at noon about the moscow trials are well decided that fiction was the best way to describe totality arianism immediately prior to writing the book or well had quit the bbc he was also upset about a book left for propagandists the ministry of information had put out the booklet included instructions on how to quell ideological fears of the soviet union such as directions to claim that the red terror was a pig mint of nazi imagination in the preface or well describe the source of the idea of setting the book on a farm i saw a little boy perhaps ten years old driving a huge cart horse along a narrow path whipping it whenever it tried to turn it struck me that if only such animals became aware of their strength we should have no power over them and that men exploit animals in much the same way as the rich exploit the proletariat,animal farm satirical allegorical novella george orwell first publish england august seventeenth nineteen forty five book tell story group farm animal rebel human farmer hope create society animal equal free happy ultimately rebellion betray farm end state bad dictatorship pig name napoleon well write book november nineteen forty three february nineteen forty four united kingdom war time alliance soviet union nazi germany british intelligentsia hold steal high esteem phenomenon well hate manuscript initially reject number british american publisher include one orwell victor gollancz delay publication become great commercial success partly international relation transform war time alliance give way cold war preface nineteen forty seven ukrainian edition animal farm explain escape communist purge spain teach easily totalitarian propaganda control opinion enlighten people democratic country motivate door expose strongly condemn see stalinist corruption original socialist ideal homage catalunya sell poorly see arthur wrestler good sell darkness noon moscow trial well decide fiction good way describe totality organism immediately prior write book well quit bbc also upset book left propagandists ministry information put booklet include instruction quell ideological fears soviet union direction claim red terror pig mint nazi imagination preface well describe source idea set book farm see little boy perhaps ten year old drive huge cart horse along narrow path whip whenever try turn strike animal become aware strength power man exploit animal much way rich exploit proletariat
shakespeare,william shakespeare was an english playwright poet and actor he is widely regarded as the greatest writer and the english language and the world's greatest dramatist he is often called england's national poet and the bard of a van or simply the bard his extant works including collaborations consist of some thirty nine plays a's one hundred and fifty four sonnets three long narrative poems and a few other verses some of uncertain authorship his plays have been translated into every major living language and are performed more often than those of any other playwright his works continue to be studied and reinterpreted published and sixteen no nine the sonnets were the last of shakespeare's non dramatic works to be printed scholars are not certain when each of the one hundred fifty four sonnets was composed but evidence suggests that shakespeare wrote sonnets throughout his career for a private readership shakespeare's works has made a lasting impression on later theatre and literature or in particular he expanded the dramatic potential of characterization plot language and genre until romeo and juliet for example romance had not been viewed as a worthy topic for tragedy soliloquies had been used mainly to convey information about characters or events but shakespeare used them to explore characters minds two hundred and eleven his work heavily influenced later poetry the romantic poets attempted to revive shakespearean verse drama though with little success shakespeare influenced novelists such as thomas hardy william faulkner and charles dickens the american novelist herman melville's soliloquies owe much to shakespeare is captain ahab and moby dick as a classic tragic hero inspired by king lear shakespeare has also inspired many painters including the romantics and the pre-raphaelites the swiss romantic artist henry fusilli a friend of william blake even translated macbeth into german,william shakespeare english playwright poet actor widely regard great writer english language world great dramatist often call england national poet bard van simply bard extant work include collaboration consist thirty nine play one hundred fifty four sonnet three long narrative poem verse uncertain authorship play translate every major living language perform often playwright work continue study interpret publish sixteen nine sonnet last shakespeare non dramatic work print scholar not certain one hundred fifty four sonnet compose evidence suggest shakespeare write sonnet throughout career private readership shakespeare work make lasting impression later theatre literature particular expand dramatic potential characterization plot language genre romeo julie example romance not view worthy topic tragedy soliloquy use mainly convey information character event shakespeare use explore character mind two hundred eleven work heavily influence later poetry romantic poet attempt revive shakespeare verse drama though little success shakespeare influence novelist thomas hardy william faulkner charles wicket american novelist herman neville soliloquy owe much shakespeare captain aab mob dick classic tragic hero inspire king year shakespeare also inspire many painter include romantic pre raphaelite swiss romantic artist henry pusilla friend william blake even translate macbeth german
snow_bunting,snow bunting is a medium-sized full bodied songbird with a small conical bill snow buntings have several plumages but they always show white and her wings with black wingtips and a black and white tail breeding males are sharp white with a black back breeding females are whitish over all with a brown streak a back and a dusky head non-breeding males are white below with rusty patches on the crown ear and shoulder and dark streaks down the back non breeding females have a rusty wash on the face and darker rusty patches on the breast breeding males and females have a dark pill that turns yellowish orange during the non-breeding season walks along barren places with a hunched over posture easily blending in with the ground until the group takes flight in a burst of black and white forms large flocks often with horned larks and longspurs during the non-breeding season breeds on rocky tundra winters in opa weedy and grassy fields and along shores of lakes and oceans often concentrates on shorelines where debris piles up along the edge from wave or a wind action this pass orion is a ground dwelling species that walks runs and could potentially jump if needed for it is fairly large and long way pinned for a bunting it measures fifteen centimeters with a wingspan of thirty two to thirty eight centimeters thirteen to fifteen in and waits thirty to forty grams the snow bunting is the most northerly recorded pass a in the world they sometimes have been called snowflakes and flocks of snow buntings may seem like snowflakes as they swirl through the air and then settle on winter fields south of the arctic these are strictly winter birds arriving in late fall generally departing at the first signs of spring in summer they retired to bear on northern tundra with some breeding on the northernmost highlands of canada and the mountains of greenland in some high arctic communities snow buntings nest in birdhouses put out for them,snow bunt medium sized full bodied songid small conical bill snow bunt several plumage always show white wing black wingtip black white tail breeding male sharp white black back breeding female whitish brown streak back dusky head non breeding male white rusty patch crown ear shoulder dark streak back non breeding female rusty wash face dark rusty patch breast breed male female dark pill turn yellowish orange non breeding season walk along barren place punch posture easily blend ground group take flight burst black white form large flock often horn park longspur non breeding season breed rocky tundra winter opa weed grassy field along shore lake ocean often concentrate shoreline debris pile along edge wave wind action pass orion ground dwelling specie walk run could potentially jump need fairly large long way pin bunting measure fifteen centimeter wingspan thirty two thirty eight centimeter thirteen fifteen wait thirty forty gram snow bunt northerly record pass world sometimes call snowflake flock snow bunting may seem like snowflake will air settle winter field south arctic strictly winter bird arrive late fall generally depart first sign spring summer retire bear northern tundra breed northernmost highlands canada mountain greenland high arctic community snow bunt nest birdhouse put
